2026-05-06 19:22:19 | INFO     | app.services.reranker_service  | Reranking complete. Top score: 0.6875, Bottom score: 0.5000
2026-05-06 19:22:19 | INFO     | app.core.retrieval             | [RETRIEVE] Retrieval complete: 5 results returned.
2026-05-06 19:22:19 | INFO     | app.core.session_cache         | Session 74fa5655-7d83-4127-9ab9-5da9dedd5c90: retrieval_results.json saved (5 hits).
2026-05-06 19:22:19 | INFO     | app.core.proof                 | Annotated page 3 of 'Gemma3_TR' with 3 bbox(es).
2026-05-06 19:22:19 | INFO     | app.core.proof                 | Annotated page 5 of 'Gemma3_TR' with 1 bbox(es).
2026-05-06 19:22:20 | INFO     | app.core.proof                 | Annotated page 6 of 'Gemma3_TR' with 4 bbox(es).
2026-05-06 19:22:20 | INFO     | app.core.proof                 | Annotated page 1 of 'Gemma3_TR' with 5 bbox(es).
2026-05-06 19:22:20 | INFO     | app.core.proof                 | Annotated page 2 of 'Gemma3_TR' with 1 bbox(es).
2026-05-06 19:22:20 | INFO     | app.core.session_cache         | Session 74fa5655-7d83-4127-9ab9-5da9dedd5c90: metadata.json saved.
2026-05-06 19:22:20 | INFO     | app.services.llm_service       | Streaming RAG answer for: Give me all training data used by Gemma 3. …
2026-05-06 19:22:51 | INFO     | app.ui.handlers                | Query complete. 5 chunks retrieved.
2026-05-06 19:28:06 | INFO     | __main__                       | ╔══════════════════════════════════════════════════════╗
2026-05-06 19:28:06 | INFO     | __main__                       | ║          ContextFlow RAG  —  Starting Up             ║
2026-05-06 19:28:06 | INFO     | __main__                       | ╚══════════════════════════════════════════════════════╝
2026-05-06 19:28:06 | INFO     | __main__                       | Config: embed_device=cuda:1  reranker_device=cuda:1  ollama=http://localhost:11434
2026-05-06 19:28:06 | INFO     | __main__                       | ── [1/4] ChromaDB …
2026-05-06 19:28:06 | INFO     | app.services.chromadb_service  | Connecting to ChromaDB at: /storage/sourava/RAG_Pipeline/RAG_Page/storage/chroma_db …
2026-05-06 19:28:06 | INFO     | app.services.chromadb_service  | ChromaDB collection 'rag_chunks' ready — 664 existing docs.
2026-05-06 19:28:06 | INFO     | __main__                       | ChromaDB ready. Collection has 664 documents.
2026-05-06 19:28:06 | INFO     | __main__                       | ── [2/4] Embedding + Reranker models …
2026-05-06 19:28:06 | INFO     | __main__                       | ════════════════════════════════════════════════════════════
2026-05-06 19:28:06 | INFO     | __main__                       |   ContextFlow — Model Initialization
2026-05-06 19:28:06 | INFO     | __main__                       | ════════════════════════════════════════════════════════════
2026-05-06 19:28:06 | INFO     | __main__                       | Initializing embedding model on cuda:1 …
